ID	Code
1393	3
1394	3
1395	3
1396	3
1397	3
1398	1
1399	1
1400	2
1401	2
1402	1
1403	1
1404	1
1405	1
1406	1
1407	1
1408	3
1409	3
1410	1
1411	2
1412	3
1413	1
1414	2
1415	2
1416	1
1417	3
1418	1
1419	3
1420	1
1421	1
1422	3
1423	3
1424	3
1425	1
1426	1
1427	2
1428	1
1429	1
1430	1
1431	1
1432	1
1433	3
1434	3
1435	1
1436	1
1437	3
1438	1
1439	2
1440	1
1441	1
1442	3
1443	2
1444	1
1445	3
1446	1
1447	3
1448	3
1449	3
1450	3
1451	1
1452	1
1453	1
1454	3
1455	3
1456	2
1457	2
1458	1
1459	1
1460	1
1461	1
1462	1
1463	1
1464	1
1465	2
1466	1
1467	3
1468	1
1469	1
1470	3
1471	1
1472	1
1473	1
1474	3
1475	1
1476	1
1477	3
1478	2
1479	1
1480	1
1481	1
1482	1
1483	3
1484	1
1485	1
1486	1
1487	1
1488	1
1489	3
1490	3
1491	1
1492	1
1493	1
1494	1
1495	1
1496	3
1497	1
1498	1
1499	1
1500	1
1501	1
1502	1
1503	2
1504	3
1505	1
1506	1
1507	1
1508	3
1509	3
1510	1
1511	3
1512	1
1513	3
1514	1
1515	1
1516	1
1517	1
1518	3
1519	3
1520	3
1521	1
1522	3
1523	1
1524	2
1525	2
1526	1
1527	1
1528	1
1529	1
1530	1
1531	1
1532	1
1533	1
1534	1
1535	1
1536	1
1537	1
1538	3
1539	1
1540	1
1541	1
1542	1
1543	3
1544	3
1545	1
1546	1
1547	3
1548	1
1549	1
1550	1
1551	1
1552	3
1553	3
1554	3
1555	1
1556	1
1557	1
1558	1
1559	1
1560	3
1561	1
1562	3
1563	3
1564	1
1565	1
1566	1
1567	1
1568	3
1569	1
1570	3
1571	1
1572	3
1573	1
1574	3
1575	1
1576	1
1577	1
1578	3
1579	3
1580	1
1581	1
1582	1
1583	2
1584	1
1585	2
1586	1
1587	1
1588	1
1589	3
1590	1
1591	1
1592	1
1593	3
1594	1
1595	3
1596	1
1597	3
1598	1
1599	1
1600	1
1601	3
1602	2
1603	1
1604	1
1605	3
1606	1
1607	1
1608	1
1609	1
1610	1
1611	1
1612	1
1613	1
1614	3
1615	1
1616	3
1617	2
1618	1
1619	1
1620	3
1621	3
1622	3
1623	3
1624	1
1625	1
1626	1
1627	1
1628	1
1629	3
1630	1
1631	3
1632	1
1633	1
1634	1
1635	1
1636	3
1637	2
1638	3
1639	1
1640	1
1641	3
1642	1
1643	1
1644	1
1645	1
1646	1
1647	1
1648	1
1649	2
1650	1
1651	2
1652	1
1653	3
1654	1
1655	2
1656	1
1657	1
1658	1
1659	3
1660	1
1661	1
1662	3
1663	3
1664	1
1665	1
1666	1
1667	1
1668	1
1669	1
1670	1
1671	1
1672	1
1673	1
1674	1
1675	1
1676	1
1677	1
1678	3
1679	1
1680	1
1681	3
1682	1
1683	2
1684	1
1685	2
1686	3
1687	3
1688	2
1689	1
1690	1
1691	1
1692	1
1693	2
1694	1
1695	1
1696	3
1697	1
1698	1
1699	3
1700	1
1701	1
1702	3
1703	3
1704	1
1705	3
1706	1
1707	1
1708	1
1709	1
1710	1
1711	1
1712	1
1713	2
1714	3
1715	1
1716	1
1717	1
1718	1
1719	2
1720	1
1721	3
1722	1
1723	2
1724	1
1725	1
1726	3
1727	1
1728	1
1729	1
1730	1
1731	1
1732	2
1733	1
1734	1
1735	1
1736	1
1737	2
1738	3
1739	3
1740	1
1741	1
1742	1
1743	2
1744	1
1745	3
1746	3
1747	1
1748	3
1749	1
1750	1
1751	1
1752	1
1753	1
1754	1
1755	3
1756	3
1757	1
1758	1
1759	3
1760	1
1761	1
1762	1
1763	1
1764	1
1765	1
1766	1
1767	1
1768	1
1769	1
1770	1
1771	3
1772	3
1773	3
1774	1
1775	1
1776	1
1777	1
1778	1
1779	1
1780	1
1781	3
1782	1
1783	3
1784	3
1785	3
1786	1
1787	3
1788	1
1789	1
1790	1
1791	1
1792	3
1793	1
1794	1
1795	1
1796	1
1797	1
1798	1
1799	3
1800	3
1801	1
1802	1
1803	2
1804	1
1805	3
1806	2
1807	1
1808	1
1809	1
1810	1
1811	1
1812	1
1813	3
1814	1
1815	1
1816	1
1817	1
1818	1
1819	1
1820	1
1821	1
1822	3
1823	1
1824	3
1825	3
1826	3
1827	3
1828	1
1829	1
1830	3
1831	1
1832	1
1833	2
1834	1
1835	1
1836	1
1837	1
1838	3
1839	3
1840	1
1841	3
1842	1
1843	1
1844	1
1845	1
1846	1
1847	1
1848	1
1849	3
1850	1
1851	3
1852	1
1853	2
1854	1
1855	1
1856	3
1857	1
1858	1
1859	1
1860	1
1861	1
1862	1
1863	1
1864	3
1865	1
1866	3
1867	1
1868	3
1869	1
1870	1
1871	3
1872	1
1873	2
1874	1
1875	1
1876	1
1877	1
1878	1
1879	1
1880	1
1881	1
1882	1
1883	1
1884	1
1885	1
1886	1
1887	1
1888	1
1889	1
1890	1
1891	1
1892	1
1893	1
1894	1
1895	1
1896	1
1897	3
1898	1
1899	3
1900	1
1901	3
1902	3
1903	1
1904	1
1905	1
1906	1
1907	1
1908	3
